Trust_Code,Trust_Name,Region,Specialty,Reporting_Month,Patients_Waiting,Number_Waiting_Over_18_Weeks,RTT_18wk_Standard_Met,Median_Wait_Weeks,Number_Waiting_Over_52_Weeks
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/09/2024,4100,1759,No,7.9,93
RXD,Kingswood Nhs Foundation Trust,South East,Ophthalmology,01/10/2024,1746,263,No,13.9,0
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/06/2023,1051,419,No,14.2,35
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/03/2024,651,247,No,16.8,33
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/12/2023,3851,779,No,12.5,141
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/12/2024,965,398,No,18.7,24
RXE,Vale Of Aldern Nhs Trust,West Midlands,T&O,01/08/2023,5688,2352,No,15.8,236
RXB,Eastfield General Hospitals Trust,East Of England,Ophthalmology,01/03/2023,1888,522,No,6,78
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/01/2024,4240,1327,No,11.4,171
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/04/2023,2838,1116,No,7.9,175
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/12/2024,2385,912,No,14.9,46
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/05/2023,831,373,No,14.9,42
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/08/2023,2843,588,No,17.1,78
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/12/2023,2306,790,No,14.4,46
RXB,Eastfield General Hospitals Trust,East Of England,Ophthalmology,01/06/2023,1905,704,No,14.3,73
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/03/2023,1122,275,No,13.8,54
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,ENT,01/12/2024,2168,616,No,17.2,72
RXC,Riverside University Hospitals Trust,London,General Surgery,01/07/2024,4948,2122,No,11.3,220
RXA,Northgate Nhs Foundation Trust,North West,Urology,01/03/2023,979,441,No,14.5,39
RXC,Riverside University Hospitals Trust,London,ENT,01/12/2023,3636,1397,No,11.5,232
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Urology,01/11/2023,2660,984,No,11.7,132
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/01/2024,6165,1438,No,11.8,263
RXD,Kingswood Nhs Foundation Trust,South East,General Surgery,01/11/2023,5787,1709,No,14,177
RXE,Vale Of Aldern Nhs Trust,West Midlands,Cardiology,01/11/2023,3983,2240,No,10.3,447
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/06/2024,2641,1152,No,12.6,137
RXC,Riverside University Hospitals Trust,London,Urology,01/01/2023,6047,347,Yes,10.6,67
RXB,Eastfield General Hospitals Trust,East Of England,Ophthalmology,01/05/2023,1826,761,No,12.5,67
RXA,Northgate Nhs Foundation Trust,North West,Dermatology,01/02/2023,2714,405,No,16.3,74
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/03/2023,2863,936,No,4.9,193
RXH,Sherbourne Nhs Foundation Trust,North East,Dermatology,01/04/2024,3686,1172,No,13.4,148
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/02/2024,5920,3166,No,16,593
RXB,Eastfield General Hospitals Trust,East Of England,T&O,01/01/2023,1022,464,No,13.8,53
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/08/2024,3069,1486,No,19.7,16
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/08/2023,5036,2025,No,15.2,387
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/07/2023,1608,480,No,10.8,0
RXB,Eastfield General Hospitals Trust,East Of England,ENT,01/08/2023,5081,1647,No,10,32
RXA,Northgate Nhs Foundation Trust,North West,ENT,01/06/2024,4318,1512,No,15,250
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,ENT,01/07/2024,1949,395,No,8.4,14
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/02/2024,793,294,No,13,32
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/01/2024,2839,993,No,15.1,108
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/04/2023,2776,1495,No,13.7,195
RXE,Vale Of Aldern Nhs Trust,West Midlands,General Surgery,01/12/2024,3058,1435,No,15.2,251
RXA,Northgate Nhs Foundation Trust,North West,Cardiology,01/12/2023,5786,2674,No,14.9,89
RXD,Kingswood Nhs Foundation Trust,South East,Gastroenterology,01/06/2023,2369,397,No,11,54
RXB,Eastfield General Hospitals Trust,East Of England,General Surgery,01/07/2024,1570,274,No,15,12
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/07/2023,5704,3069,No,14.3,616
RXA,Northgate Nhs Foundation Trust,North West,T&O,01/05/2024,3166,730,No,15.8,116
RXB,Eastfield General Hospitals Trust,East Of England,Cardiology,01/06/2023,1119,298,No,13.6,74
RXD,Kingswood Nhs Foundation Trust,South East,ENT,01/03/2023,5746,1438,No,11.1,228
RXH,Sherbourne Nhs Foundation Trust,North East,Cardiology,01/06/2024,5777,2444,No,14.4,223
RXH,Sherbourne Nhs Foundation Trust,North East,Cardiology,01/04/2024,5322,2723,No,13.8,379
RXE,Vale Of Aldern Nhs Trust,West Midlands,General Surgery,01/01/2024,3108,564,No,14.1,0
RXF,Harborview Nhs Foundation Trust,South West,Gastroenterology,01/12/2023,6160,1880,No,13.4,112
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/01/2023,2528,1084,No,13.7,97
RXC,Riverside University Hospitals Trust,London,Cardiology,01/08/2024,6103,2248,No,11.3,331
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/10/2024,2858,1776,No,7.9,184
RXF,Harborview Nhs Foundation Trust,South West,General Surgery,01/09/2024,5834,2058,No,14.3,213
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/07/2024,2683,928,No,16,13
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/11/2023,3087,1217,No,14,111
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,General Surgery,01/12/2024,2470,827,No,16.2,36
RXE,Vale Of Aldern Nhs Trust,West Midlands,Ophthalmology,01/02/2024,2367,1092,No,14.6,87
RXH,Sherbourne Nhs Foundation Trust,North East,Urology,01/07/2023,4252,1092,No,10.1,231
RXF,Harborview Nhs Foundation Trust,South West,Dermatology,01/04/2023,3045,1027,No,13.2,182
RXF,Harborview Nhs Foundation Trust,South West,T&O,01/07/2023,4589,1170,No,10.4,126
RXC,Riverside University Hospitals Trust,London,T&O,01/06/2024,4535,1344,No,17.8,226
RXC,Riverside University Hospitals Trust,London,Ophthalmology,01/01/2023,2594,1319,No,15.5,219
RXA,Northgate Nhs Foundation Trust,North West,General Surgery,01/04/2023,1557,579,No,12.1,42
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/02/2023,3940,1130,No,13.9,195
RXD,Kingswood Nhs Foundation Trust,South East,Ophthalmology,01/01/2023,1644,843,No,13.6,223
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/09/2023,2750,874,No,14,161
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/01/2024,2521,1265,No,11,254
RXA,Northgate Nhs Foundation Trust,North West,General Surgery,01/07/2023,1730,801,No,9.6,114
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/04/2024,3915,1235,No,11.7,182
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/10/2024,807,232,No,17.9,34
RXD,Kingswood Nhs Foundation Trust,South East,Gastroenterology,01/01/2023,2210,732,No,3,16
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Dermatology,01/09/2024,2656,754,No,18.5,111
RXB,Eastfield General Hospitals Trust,East Of England,Gastroenterology,01/08/2024,859,498,No,17,91
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/05/2023,5827,3464,No,9.2,442
RXB,Eastfield General Hospitals Trust,East Of England,Dermatology,01/05/2024,2307,903,No,14.2,102
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/05/2024,5925,2054,No,12.8,179
RXF,Harborview Nhs Foundation Trust,South West,Cardiology,01/01/2024,2094,674,No,11.1,72
RXF,Harborview Nhs Foundation Trust,South West,Urology,01/11/2023,3543,1465,No,17.7,317
RXF,Harborview Nhs Foundation Trust,South West,Ophthalmology,01/07/2023,3177,526,No,12.7,91
RXC,Riverside University Hospitals Trust,London,Urology,01/10/2024,6382,2851,No,19.6,246
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/06/2024,956,365,No,11.7,70
RXH,Sherbourne Nhs Foundation Trust,North East,General Surgery,01/01/2024,1094,528,No,15,30
RXA,Northgate Nhs Foundation Trust,North West,Cardiology,01/05/2024,5865,2354,No,14.5,452
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Ophthalmology,01/10/2023,5353,2029,No,9.6,487
RXA,Northgate Nhs Foundation Trust,North West,Ophthalmology,01/10/2023,3713,1184,No,18.7,199
RXE,Vale Of Aldern Nhs Trust,West Midlands,Urology,01/10/2024,3097,959,No,14.4,260
RXA,Northgate Nhs Foundation Trust,North West,Gastroenterology,01/01/2023,5669,1732,No,9.1,247
RXD,Kingswood Nhs Foundation Trust,South East,Dermatology,01/06/2024,2350,653,No,18.4,107
RXH,Sherbourne Nhs Foundation Trust,North East,T&O,01/03/2024,1172,708,No,17.6,42
RXC,Riverside University Hospitals Trust,London,T&O,01/09/2023,4544,1856,No,12.4,169
RXD,Kingswood Nhs Foundation Trust,South East,Cardiology,01/04/2024,2801,1493,No,13.3,252
RXC,Riverside University Hospitals Trust,London,General Surgery,01/05/2024,4709,1110,No,11,168
RXC,Riverside University Hospitals Trust,London,General Surgery,01/10/2023,4706,2043,No,17.7,200
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Cardiology,01/11/2023,2922,807,No,18.1,16
RXA,Northgate Nhs Foundation Trust,North West,General Surgery,01/02/2023,1350,525,No,10.7,33
RXF,Harborview Nhs Foundation Trust,South West,Urology,01/07/2023,3471,1595,No,10.7,232
RXC,Riverside University Hospitals Trust,London,Cardiology,01/02/2024,6079,1515,No,10.9,197
RXG,Meadowbrook University Hospitals Trust,Yorkshire And The Humber,Gastroenterology,01/08/2024,2510,1220,No,16.9,110
RXE,Vale Of Aldern Nhs Trust,West Midlands,Gastroenterology,01/04/2023,4364,1946,No,11.5,299
RXH,Sherbourne Nhs Foundation Trust,North East,ENT,01/06/2023,5541,1642,No,17,122
