Trust_Code,Trust_Name,Region,Specialty,Reporting_Month,Patients_Waiting,Median_Wait_Weeks,Number_Waiting_Over_18_Weeks,Number_Waiting_Over_52_Weeks,RTT_18wk_Standard_Met
RXD,Kingswood NHS Foundation Trust,South East,Dermatology ,2023-11,2410,7.1,1028,136,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ophthalmology,2024-04,5694,7.9,2207,442,No
RXF,Harborview NHS Foundation Trust,South West,Dermatology ,2024-11,2790,9.4,1064,115,No
RXE,Vale of Aldern NHS Trust,West Midlands,Derm,2023-11,4830,15.6,2392,270,No
RXH,Sherbourne NHS Foundation Trust,North East,ent,Oct-23,5461,13.1,808,123,No
RXF,Harborview NHS Foundation Trust,South West,Urology,Mar-23,3576,6.2,1767,157,No
RXE,Vale of Aldern NHS Trust,West Midlands,ophthalmology ,2023-07,2487,,382,32,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ear Nose and Throat,2023-01,3176,10.3,395,19,No
RXB,EASTFIELD GENERAL HOSPITALS TRUST,East of England,Cardiology,Apr-24,1423,15.5,397,46,No
RXF,Harborview NHS Foundation Trust,,Cardiology,2023-06,2212,18,763,71,No
RXF,Harborview NHS Foundation Trust,South West,gastroenterology,2023-04,6177,11.4,2261,436,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,General Surgery,01/03/2024,2174,17.9,616,100,No
RXC,Riverside University Hospitals Trust,London,Trauma and Orthopaedics,Apr-23,4531,14.1,1477,144,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery,2023-04,893,,295,28,No
RXH,Sherbourne NHS Foundation Trust,North East,trauma & orthopaedics,2023-04,1156,10.7,427,77,No
RXD,Kingswood NHS Foundation Trust,South East,Gen Surgery,01/09/2023,5678,11.2,1939,64,No
RXE,Vale of Aldern NHS Trust,West Midlands,gastroenterology,01/05/2023,4156,13.9,1415,172,No
RXE,Vale of Aldern NHS Trust,West Midlands,general surgery,2024-02,3004,17.3,1720,207,No
RXE,Vale of Aldern NHS Trust,West Midlands,Dermatology,2024-05,5057,10.6,1430,160,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology,2023-08,1037,17,233,20,No
RXE,Vale of Aldern NHS Trust,West Midlands,ent,Jun-24,3374,14.3,981,167,No
RXD,Kingswood NHS Foundation Trust,South East,Ophthalmology,2023-09,1580,14,670,104,No
RXC,Riverside University Hospitals Trust,London,Ophthalmology,2024-08,2825,16,1060,193,No
RXB,Eastfield General Hospitals Trust,East of England,trauma & orthopaedics,Feb-24,1144,13.1,457,102,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,2024-02,4240,,2153,101,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Trauma and Orthopaedics,2024-09,3972,15,836,70,No
RXF,Harborview NHS Foundation Trust,South West,Dermatology,Aug-23,2875,12.1,640,89,No
RXD,Kingswood NHS Foundation Trust,South East,Opthalmology,Dec-24,1758,18.4,693,126,No
RXH,Sherbourne NHS Foundation Trust,North East,Derm,2023-12,3252,8.9,1508,105,No
RXA,NORTHGATE NHS FOUNDATION TRUST,North West, Cardiology,Apr-23,5798,17.1,1549,157,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gen Surgery,Jan-23,2111,7.7,879,135,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,2024-03,2699,13.8,1453,162,No
RXB,Eastfield General Hospitals Trust,East of England,Derm,2024-09,2362,12.7,824,208,No
RXH,Sherbourne NHS Foundation Trust,North East,dermatology,2023-02,3398,15.8,1304,110,No
RXC,Riverside University Hospitals Trust,London,Derm,2023-06,3635,14.3,1355,282,No
RXE,Vale of Aldern NHS Trust,West Midlands,Gastro,2023-12,4256,14.1,2029,124,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Urology,Nov-24,3037,16.1,1152,119,No
RXA, Northgate NHS Foundation Trust ,North West,Dermatology,01/09/2024,2106,12.7,930,172,No
RXH,Sherbourne NHS Foundation Trust,North East,ENT,01/09/2023,5650,12.3,1885,223,No
RXD,Kingswood NHS Foundation Trust,South East,Dermatology,2023-07,2415,10.2,619,49,No
RXC,Riverside University Hospitals Trust,London,Opthalmology,2023-09,2838,13.9,1061,184,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,2023-04,3659,12.8,571,99,No
RXF,Harborview NHS Foundation Trust,South West,gastroenterology,2024-02,5884,,2541,329,No
RXC, Riverside University Hospitals Trust ,London,cardiology,2024-07,6389,11.5,2368,434,No
RXF,Harborview NHS Foundation Trust,South West,Urology,Sep-24,3812,12.9,938,150,No
RXH,Sherbourne NHS Foundation Trust,North East,Cardiology,Jan-24,5659,13.8,2477,197,No
RXF,HARBORVIEW NHS FOUNDATION TRUST,South West,Cardiology,2024-04,2353,,1057,31,No
RXB,Eastfield General Hospitals Trust,East of England,Urology,2024-10,5162,14.6,1873,169,No
RXD,Kingswood NHS Foundation Trust,South East,Urology,Jan-23,1619,14,632,82,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,Urology,2024-01,2750,12.4,826,19,No
RXF,Harborview NHS Foundation Trust,South West,General Surgery ,Jul-24,"5,815",14.1,2037,344,No
RXD,Kingswood NHS Foundation Trust,South East,General Surgery,2024-06,6040,13.5,2455,144,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,2024-05,2788,17.6,1029,197,No
RXD,Kingswood NHS Foundation Trust,South East,Gastroenterology ,Dec-24,2599,14.8,1068,138,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,2023-02,2972,14.9,573,79,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,Jun-23,4021,,867,83,No
RXB,Eastfield General Hospitals Trust,East of England,trauma & orthopaedics,2024-05,1320,18.9,510,12,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,cardiology,Aug-24,2892,12.3,674,81,No
RXH, Sherbourne NHS Foundation Trust ,North East,Urology,2024-09,4100,7.9,1759,93,No
RXD,Kingswood NHS Foundation Trust,South East,Ophthalmology,2024-10,1746,13.9,263,0,No
RXB,Eastfield General Hospitals Trust,East of England,T&O,2023-06,1051,14.2,419,35,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology ,2024-03,651,16.8,247,33,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,2023-12,3851,12.5,779,141,No
RXB,Eastfield General Hospitals Trust,East of England,T&O,01/12/2024,965,18.7,398,24,No
RXE,Vale of Aldern NHS Trust,West Midlands,Trauma & Orthopaedics,2023-08,"5,688",15.8,2352,236,No
RXB,Eastfield General Hospitals Trust,East of England,Ophthalmology,2023-03,1888,6,522,78,No
RXA,Northgate NHS Foundation Trust,North West,ENT,2024-01,4240,11.4,1327,171,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology ,2023-04,2838,7.9,1116,175,No
RXD,Kingswood NHS Foundation Trust,South East,dermatology,2024-12,2385,14.9,912,46,No
RXH,Sherbourne NHS Foundation Trust,North East,General Surgery ,2023-05,831,14.9,373,42,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,01/08/2023,2843,17.1,588,78,No
RXA,Northgate NHS Foundation Trust,North West,dermatology,2023-12,2306,14.4,790,46,No
RXB,Eastfield General Hospitals Trust,East of England,Opthalmology,2023-06,1905,14.3,704,73,No
RXB,Eastfield General Hospitals Trust,East of England,general surgery,2023-03,1122,13.8,275,54,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ENT,2024-12,2168,17.2,616,72,No
RXC,Riverside University Hospitals Trust,London,General Surgery ,2024-07,4948,11.3,2122,220,No
RXA, Northgate NHS Foundation Trust ,North West,Urology,2023-03,979,14.5,441,39,No
RXC,Riverside University Hospitals Trust,London,E.N.T.,01/12/2023,3636,11.5,1397,232,No
RXG,MEADOWBROOK UNIVERSITY HOSPITALS TRUST,Yorkshire and the Humber,Urology,Nov-23,2660,11.7,984,132,No
RXF,Harborview NHS Foundation Trust,South West,Gastro,2024-01,6165,11.8,1438,263,No
RXD,Kingswood NHS Foundation Trust,South East,general surgery,01/11/2023,5787,14,1709,177,No
RXE,Vale of Aldern NHS Trust,West Midlands,cardiology,2023-11,3983,10.3,2240,447,No
RXF,Harborview NHS Foundation Trust,South West,Derm,Jun-24,2641,12.6,1152,137,No
RXC,Riverside University Hospitals Trust,London,urology ,2023-01,6047,10.6,347,67,Yes
RXB,Eastfield General Hospitals Trust,East of England,Ophthalmology,2023-05,1826,12.5,761,67,No
RXA,Northgate NHS Foundation Trust,North West,Derm,01/02/2023,2714,16.3,405,74,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Derm,01/03/2023,2863,4.9,936,193,No
RXH,Sherbourne NHS Foundation Trust,North East,Derm,Apr-24,3686,13.4,1172,148,No
RXA,Northgate NHS Foundation Trust,North West,Gastroenterology,2024-02,5920,16,3166,593,No
RXB,Eastfield General Hospitals Trust,East of England,Trauma and Orthopaedics,2023-01,"1,022",13.8,464,53,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,Aug-24,3069,19.7,1486,16,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Ophthalmology,2023-08,5036,15.2,2025,387,No
RXB,Eastfield General Hospitals Trust,East of England,general surgery,Jul-23,1608,10.8,480,0,No
RXB,Eastfield General Hospitals Trust,East of England,ENT,01/08/2023,5081,10,1647,32,No
RXA,Northgate NHS Foundation Trust,North West,E.N.T.,2024-06,4318,15,1512,250,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ENT,01/07/2024,1949,8.4,395,14,No
RXB, Eastfield General Hospitals Trust ,East of England,Gastro,2024-02,793,13,294,32,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,Jan-24,2839,15.1,993,108,No
RXA,Northgate NHS Foundation Trust,North West,T&O,2023-04,2776,13.7,1495,195,No
RXE,VALE OF ALDERN NHS TRUST,West Midlands,General Surgery,01/12/2024,3058,15.2,1435,251,No
RXA,Northgate NHS Foundation Trust,North West,Cardiology,2023-12,5786,14.9,2674,89,No
RXD,Kingswood NHS Foundation Trust,South East,Gastroenterology,2023-06,2369,11,397,54,No
RXB,Eastfield General Hospitals Trust,East of England,General Surgery,2024-07,1570,15,274,12,No
RXA,Northgate NHS Foundation Trust,North West,gastroenterology,01/07/2023,5704,14.3,3069,616,No
RXA,Northgate NHS Foundation Trust,North West,Trauma & Orthopaedics,2024-05,3166,15.8,730,116,No
RXB,Eastfield General Hospitals Trust,East of England,cardiology,2023-06,1119,13.6,298,74,No
RXD,Kingswood NHS Foundation Trust,South East,E.N.T.,2023-03,5746,11.1,1438,228,No
RXH,Sherbourne NHS Foundation Trust,North East,Cardiology,2024-06,5777,,2444,223,No
RXH,Sherbourne NHS Foundation Trust,North East,Cardiology,01/04/2024,5322,13.8,2723,379,No
RXE,Vale of Aldern NHS Trust,West Midlands,General Surgery ,Jan-24,3108,14.1,564,0,No
RXF,Harborview NHS Foundation Trust,South West,Gastroenterology,Dec-23,6160,13.4,1880,112,No
RXE,Vale of Aldern NHS Trust,West Midlands,Ophthalmology,2023-01,2528,13.7,1084,97,No
RXC,Riverside University Hospitals Trust,London, Cardiology,Aug-24,6103,11.3,2248,331,No
RXC,Riverside University Hospitals Trust,London,Opthalmology,2024-10,2858,7.9,1776,184,No
RXF,Harborview NHS Foundation Trust,South West,Gen Surgery,Sep-24,5834,14.3,2058,213,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,2024-07,2683,16,928,13,No
RXG, Meadowbrook University Hospitals Trust ,Yorkshire and the Humber,dermatology,01/11/2023,3087,14,1217,111,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,General Surgery,2024-12,2470,16.2,827,36,No
RXE,VALE OF ALDERN NHS TRUST,West Midlands,Ophthalmology,2024-02,2367,14.6,1092,87,No
RXH,Sherbourne NHS Foundation Trust,North East,Urology,2023-07,4252,10.1,1092,231,No
RXF,Harborview NHS Foundation Trust,South West,dermatology,2023-04,3045,13.2,1027,182,No
RXF,Harborview NHS Foundation Trust,South West,Trauma & Orthopaedics,2023-07,4589,10.4,1170,126,No
RXC,Riverside University Hospitals Trust,London,trauma & orthopaedics,Jun-24,4535,17.8,1344,226,No
RXC,Riverside University Hospitals Trust,London,Ophthalmology,2023-01,2594,15.5,1319,219,No
RXA,Northgate NHS Foundation Trust,North West,General Surgery ,2023-04,1557,12.1,579,42,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,Feb-23,3940,13.9,1130,195,No
RXD,Kingswood NHS Foundation Trust,South East,Opthalmology,2023-01,1644,13.6,843,223,No
RXE,Vale of Aldern NHS Trust,West Midlands,Urology,01/09/2023,"2,750",14,874,161,No
RXB,Eastfield General Hospitals Trust,East of England,Dermatology,Jan-24,2521,11,1265,254,No
RXA, Northgate NHS Foundation Trust ,North West,general surgery,01/07/2023,1730,9.6,801,114,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,Apr-24,3915,11.7,1235,182,No
RXB,EASTFIELD GENERAL HOSPITALS TRUST,East of England,Gastro,01/10/2024,807,17.9,232,34,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East,Gastroenterology,01/01/2023,2210,3,732,16,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Dermatology,2024-09,2656,18.5,754,111,No
RXB,Eastfield General Hospitals Trust,East of England,Gastroenterology,2024-08,859,17,498,91,No
RXA,Northgate NHS Foundation Trust,North West,Gastro,2023-05,5827,9.2,3464,442,No
RXB,Eastfield General Hospitals Trust,East of England,dermatology,2024-05,2307,14.2,903,102,No
RXA,Northgate NHS Foundation Trust,North West,Gastroenterology,2024-05,5925,12.8,2054,179,No
RXF,Harborview NHS Foundation Trust,South West, Cardiology,Jan-24,2094,11.1,674,72,No
RXF,Harborview NHS Foundation Trust,South West,Urology,Nov-23,3543,17.7,1465,317,No
RXF,Harborview NHS Foundation Trust,South West,ophthalmology ,2023-07,3177,12.7,526,91,No
RXC,Riverside University Hospitals Trust,London,Urology,Oct-24,6382,19.6,2851,246,No
RXH,Sherbourne NHS Foundation Trust,North East,T&O,2024-06,956,11.7,365,70,No
RXH, Sherbourne NHS Foundation Trust ,North East,General Surgery ,2024-01,1094,15,528,30,No
RXA,Northgate NHS Foundation Trust,North West,Cardiology,2024-05,5865,14.5,2354,452,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,ophthalmology ,2023-10,5353,9.6,2029,487,No
RXA,Northgate NHS Foundation Trust,North West,Ophthalmology,Oct-23,3713,18.7,1184,199,No
RXE,Vale of Aldern NHS Trust,West Midlands,urology ,2024-10,3097,14.4,959,260,No
RXA,Northgate NHS Foundation Trust,North West,Gastroenterology ,01/01/2023,5669,9.1,1732,247,No
RXD,Kingswood NHS Foundation Trust,South East,Dermatology,Jun-24,2350,18.4,653,107,No
RXH,Sherbourne NHS Foundation Trust,North East,Trauma and Orthopaedics,01/03/2024,1172,17.6,708,42,No
RXC,RIVERSIDE UNIVERSITY HOSPITALS TRUST,London,trauma & orthopaedics,01/09/2023,"4,544",12.4,1856,169,No
RXD,KINGSWOOD NHS FOUNDATION TRUST,South East, Cardiology,01/04/2024,2801,13.3,1493,252,No
RXC,Riverside University Hospitals Trust,London,General Surgery,2024-05,4709,11,1110,168,No
RXC,Riverside University Hospitals Trust,London,General Surgery,2023-10,4706,17.7,2043,200,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Cardiology,2023-11,2922,18.1,807,16,No
RXD,Kingswood NHS Foundation Trust,South East,Dermatology,2023-07,2415,10.2,619,49,No
RXA,Northgate NHS Foundation Trust,North West,General Surgery,2023-02,"1,350",10.7,525,33,No
RXF,Harborview NHS Foundation Trust,South West,urology ,01/07/2023,3471,10.7,1595,232,No
RXC,Riverside University Hospitals Trust,London,cardiology,2024-02,6079,10.9,1515,197,No
RXG,Meadowbrook University Hospitals Trust,Yorkshire and the Humber,Gastro,2024-08,2510,16.9,1220,110,No
RXE,Vale of Aldern NHS Trust,West Midlands,gastroenterology,01/04/2023,4364,11.5,1946,299,No
RXH,Sherbourne NHS Foundation Trust,North East,E.N.T.,2023-06,5541,17,1642,122,No
RXD,Kingswood NHS Foundation Trust,South East, Cardiology,2024-05,2621,15.5,1020,4,No
RXB,Eastfield General Hospitals Trust,East of England,Urology,2023-03,4918,15.7,2033,301,No
RXD,Kingswood NHS Foundation Trust,South East,Derm,2024-02,2280,14.9,452,74,No
RXC,Riverside University Hospitals Trust,London,Dermatology ,Dec-23,3374,9.6,1092,46,No
RXA,Northgate NHS Foundation Trust,North West,urology ,Aug-24,468,13.8,114,1,No
